X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
247,1,3-4 days,6,Female,25-34,12345,Yes,1 day,$500-$999,NA,$500-$999,$100-$199,$500-$999,0,$50-$99,$20-$49,$50-$99,$1 - $20,Three nights,Hotel or motel,240
111,25,7-8 days,5,Female,35-44,93013,Yes,2 days,$100-$199,0,$50-$99,$50-$99,$50-$99,0,"$1,000-$1,999",$50-$99,$500-$999,0,One night,"Friends, family or no expense",125
79,1-2 times,1-2 days,0.5,Male,18-24,80306,No,Live in area,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$50-$99,$1 - $20,$100-$199,$50-$99,Multiple day trips,NA,200
169,1-2 times,1-2 days,8,Male,18-24,80303,Yes,1 day,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$1 - $20,$1 - $20,$1 - $20,$1 - $20,Day trip,NA,N/A
64,20,1-2 days,5,Female,75-84,80303,No,Live in area,$1 - $20,0,$1 - $20,0,0,0,"$1,000-$1,999",$500-$999,0,$50-$99,Two nights,"Friends, family or no expense",280
233,5-6 times,7-8 days,5,Female,35-44,80303,NA,NA,$50-$99,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,"$2,000-$4,999",$500-$999,$500-$999,$500-$999,Resident,"Friends, family or no expense",0
190,5-6 times,3-4 days,3,Female,25-34,80303,No,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$1 - $20,$20-$49,$200-$499,Live in Boulder,Home,175
225,3-4 times,1-2 days,4,Male,25-34,80303,NA,I live here,$50-$99,0,0,0,0,$1 - $20,"$1,000-$1,999",$200-$499,0,$50-$99,Four nights,Boulder Resident,280
197,NA,6,4,Female,45-54,80303,NA,NA,$21-$49,$50-$99,$21-$49,$21-$49,$100-$199,$1 - $20,$100-$199,$20-$49,$500-$999,$50-$99,NA,Hotel or motel,125
45,5-6 times,1-2 days,1,Female,35-44,80303,NA,0,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$1 - $20,NA,NA,"Friends, family or no expense",0
225,3-4 times,1-2 days,4,Male,25-34,80303,NA,I live here,$50-$99,0,0,0,0,$1 - $20,"$1,000-$1,999",$200-$499,0,$50-$99,Four nights,Boulder Resident,280
77,1-2 times,1-2 days,1,Female,35-44,93111,No,Didn't extend stay,$1 - $20,0,0,0,0,0,"$2,000-$4,999",NA,NA,NA,NA,Home,N/A
255,20,1-2 days,4,Male,55-64,93111,NA,I live here,0,$50-$99,$1 - $20,$21-$49,0,$1 - $20,$100-$199,$100-$199,$20-$49,$20-$49,Day trip,Home,280
60,20,1-2 days,2,Male,55-64,80309,No,Zero,$1 - $20,0,0,0,0,$50-$99,$1 - $20,$20-$49,$200-$499,$500-$999,One night,Home,0
13,20,0,2,Female,55-64,80303,NA,1 day,0,0,0,0,0,0,"$1,000-$1,999",$200-$499,$100-$199,$20-$49,Day trip,"Friends, family or no expense",125
271,20,7-8 days,2,Female,45-54,80305,Yes,Live in area,$1 - $20,"$1,000-$1,499","$1,000-$1,499",0,"$1,000-$1,499","$5,000.00",$100-$199,$20-$49,$200-$499,$1 - $20,Local,Boulder Resident,500
100,20,3-4 days,2,Female,45-54,80306,NA,0,$100-$199,0,0,$1 - $20,0,0,NA,$200-$499,$1 - $20,$200-$499,Day trip,NA,3
28,1-2 times,0,0,Female,55-64,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$200-$499,$100-$199,0,$20-$49,Two nights,Hotel or motel,240
164,20,1-2 days,3,Female,55-64,80306,NA,I live here,$21-$49,"$2,000-$3,000",$21-$49,"$2,000-$3,000",$1 - $20,"$5,000.00",$1 - $20,$1 - $20,$20-$49,$200-$499,NA,Home,240
133,35,3-4 days,5,Female,35-44,80303,No,NA,$200-$499,"$2,000-$3,000",$50-$99,$1 - $20,$500-$999,$500-$999,$20-$49,0,$1 - $20,$500-$999,Live in Boulder,NA,280
110,20,5-6 days,3,Female,55-64,80304,Yes,A few hours,$100-$199,$200-$499,$21-$49,NA,$50-$99,"$5,000.00",$1 - $20,$100-$199,$1 - $20,$500-$999,Local,NA,N/A
207,20,3-4 days,2,Female,65-74,80309,No,Zero,$50-$99,0,$21-$49,$1 - $20,0,0,$50-$99,$200-$499,$1 - $20,$200-$499,Three nights,Hotel or motel,280
114,1-2 times,1-2 days,5,Female,25-34,80304,Yes,0,$100-$199,0,0,$21-$49,0,0,NA,NA,NA,NA,I live here,Home,175
108,20,1-2 days,2,Male,45-54,80303,Yes,Home is here,$100-$199,"$2,000-$3,000",$200-$499,$21-$49,NA,$100-$199,0,0,$1 - $20,0,NA,Hotel or motel,280
280,1-2 times,0,4,Female,55-64,91335,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",NA,0,$100-$199,$100-$199,$21-$49,"$5,000.00",$50-$99,$1 - $20,$1 - $20,$50-$99,Day trip,"Friends, family or no expense",280
211,20,3-4 days,4,Male,35-44,80303,No,Didn't extend stay,$50-$99,$50-$99,0,$21-$49,0,0,$20-$49,$200-$499,$20-$49,$50-$99,Four nights,"Friends, family or no expense",125
149,20,1-2 days,2,Female,35-44,80303,Yes,NA,$21-$49,0,$21-$49,0,0,0,$1 - $20,$1 - $20,NA,$1 - $20,I live here,Boulder Resident,500
231,3-4 times,3-4 days,3,Female,65-74,80304,NA,0,$50-$99,$100-$199,$1 - $20,NA,$50-$99,$50-$99,$50-$99,$1 - $20,$50-$99,$20-$49,I live here,Boulder Resident,NA
129,20,7-8 days,3,Female,35-44,80309,Yes,I live here,$200-$499,0,$21-$49,$21-$49,0,$100-$199,NA,$500-$999,$500-$999,$1 - $20,Three nights,Home,240
289,5-6 times,0,8,Female,35-44,95833,NA,I live here,$1 - $20,$200-$499,$1 - $20,0,"$1,000-$1,499",$200-$499,$20-$49,$1 - $20,$1 - $20,$1 - $20,Two nights,"Friends, family or no expense",175
248,1,3-4 days,4,Female,35-44,93611,NA,A few hours,$1 - $20,$21-$49,$100-$199,$1 - $20,NA,$21-$49,"$1,000-$1,999",0,$50-$99,$200-$499,Three nights,Hotel or motel,500
24,1-2 times,0,0,Female,35-44,80303,No,1 day,0,0,0,0,0,0,$50-$99,$100-$199,$20-$49,$20-$49,Local,NA,N/A
131,20,3-4 days,3,Male,45-54,80303,NA,2 days,$200-$499,"$1,000-$1,499",$21-$49,$50-$99,$1 - $20,$200-$499,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Three nights,"Friends, family or no expense",500
213,20,3-4 days,5,Female,55-64,93108,NA,NA,$50-$99,0,$1 - $20,$21-$49,$1 - $20,$1 - $20,0,$50-$99,$200-$499,$200-$499,Live in Boulder,"Friends, family or no expense",500
3,1,0,0,Female,65-74,80303,No,Zero,0,0,0,0,0,0,$100-$199,NA,0,$20-$49,Multiple day trips,"Friends, family or no expense",0
203,20,1-2 days,1,Female,55-64,80303,Yes,Home is here,$50-$99,0,0,0,0,0,$100-$199,NA,$1 - $20,$200-$499,Day trip,NA,NA
176,1-2 times,1-2 days,2,Male,35-44,80304,No,I live here,$21-$49,$21-$49,$21-$49,"$2,000-$3,000",$200-$499,$500-$999,"$1,000-$1,999",$200-$499,$50-$99,$20-$49,Live in Boulder,NA,200
282,1-2 times,1-2 days,3,Female,55-64,80302,Yes,NA,"$1,000.00",$500-$999,"$1,000-$1,499",$50-$99,$21-$49,0,$1 - $20,0,0,0,Two nights,Hotel or motel,175
86,3-4 times,1-2 days,4,Female,35-44,80305,NA,Didn't extend stay,$1 - $20,"$2,000-$3,000",$1 - $20,$1 - $20,$50-$99,$1 - $20,$1 - $20,$100-$199,$20-$49,NA,Multiple day trips,Boulder Resident,3
226,3-4 times,3-4 days,2,Male,45-54,80309,No,1 day,$50-$99,0,0,$1 - $20,$1 - $20,0,$100-$199,0,$200-$499,NA,Day trip,Home,175
48,5-6 times,0,0,Male,55-64,80306,NA,Live in area,0,0,0,0,0,0,$20-$49,$50-$99,0,$200-$499,One night,Hotel or motel,240
105,20,3-4 days,2,Male,65-74,80309,NA,1 day,$100-$199,"$2,000-$3,000",$50-$99,$1 - $20,$21-$49,"$3,000-$4,000",$20-$49,0,0,$20-$49,Resident,"Friends, family or no expense",200
183,3-4 times,1-2 days,4,Female,25-34,80306,NA,A few hours,$21-$49,$100-$199,"$1,000-$1,499",NA,$100-$199,$1 - $20,$1 - $20,0,$500-$999,$500-$999,Live in Boulder,NA,125
85,3-4 times,1-2 days,2,Female,18-24,80303,No,I live here,$1 - $20,$500-$999,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$200-$499,$500-$999,0,$50-$99,Local,Hotel or motel,280
231,3-4 times,3-4 days,3,Female,65-74,80304,NA,0,$50-$99,$100-$199,$1 - $20,NA,$50-$99,$50-$99,$50-$99,$1 - $20,$50-$99,$20-$49,I live here,Boulder Resident,NA
141,10,3-4 days,3,Female,35-44,80305,NA,2 days,$21-$49,0,$1 - $20,$1 - $20,$1 - $20,0,$20-$49,$200-$499,$50-$99,$200-$499,I live here,Hotel or motel,240
204,20,1-2 days,5,Female,18-24,80303,No,2 days,$50-$99,0,0,$1 - $20,0,$200-$499,$200-$499,$200-$499,$1 - $20,$500-$999,Three nights,Boulder Resident,500
8,20,0,0,Female,25-34,80306,Yes,-,0,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$1 - $20,$50-$99,Four nights,Home,125
9,20,1-2 days,2,Male,35-44,80309,No,1 day,0,0,0,0,0,0,$100-$199,$200-$499,$20-$49,$1 - $20,I live here,NA,3
150,20,1-2 days,3,Female,65-74,80302,No,Home is here,$21-$49,0,0,$1 - $20,0,$21-$49,0,NA,$50-$99,0,Four nights,NA,200
99,12,1-2 days,3,Female,55-64,80305,No,2 days,$1 - $20,$1 - $20,$1 - $20,$1 - $20,0,0,0,$100-$199,$1 - $20,$500-$999,Live in Boulder,"Friends, family or no expense",240
211,20,3-4 days,4,Male,35-44,80303,No,Didn't extend stay,$50-$99,$50-$99,0,$21-$49,0,0,$20-$49,$200-$499,$20-$49,$50-$99,Four nights,"Friends, family or no expense",125
87,3-4 times,5-6 days,5,Female,55-64,80309,No,NA,$1 - $20,0,$100-$199,$1 - $20,$21-$49,0,$20-$49,$1 - $20,$500-$999,$500-$999,Four nights,"Friends, family or no expense",175
56,20,1-2 days,2,Female,55-64,93111,No,Live in area,$1 - $20,0,0,0,0,$50-$99,$100-$199,NA,0,$50-$99,Local,Boulder Resident,125
217,20,3-4 days,2,Female,45-54,93111,No,A few hours,$50-$99,0,$21-$49,$21-$49,$1 - $20,0,$20-$49,$500-$999,NA,0,Resident,NA,125
251,20,3-4 days,2,Male,55-64,93111,No,Home is here,$1 - $20,$1 - $20,$1 - $20,$21-$49,$200-$499,0,$100-$199,$100-$199,$100-$199,$50-$99,Multiple day trips,Boulder Resident,125
255,20,1-2 days,4,Male,55-64,93111,NA,I live here,0,$50-$99,$1 - $20,$21-$49,0,$1 - $20,$100-$199,$100-$199,$20-$49,$20-$49,Day trip,Home,280
55,1,1-2 days,2,Female,25-34,80305,No,-,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$500-$999,NA,$500-$999,Local,"Friends, family or no expense",N/A
27,1-2 times,1-2 days,1,Female,45-54,80309,No,I live here,0,0,0,0,0,0,$20-$49,$1 - $20,$200-$499,$500-$999,Four nights,Hotel or motel,NA
5,7,3-4 days,2,Female,45-54,80304,Yes,Didn't extend stay,0,0,0,$1 - $20,0,0,$100-$199,0,$500-$999,$50-$99,Multiple day trips,Hotel or motel,0
121,20,7-8 days,6,Female,55-64,80305,No,I live here,$200-$499,$200-$499,$200-$499,$200-$499,$500-$999,$200-$499,0,$1 - $20,$20-$49,0,I live here,Home,N/A
232,40,3-4 days,8,Male,35-44,80306,Yes,Home is here,$50-$99,$1 - $20,$21-$49,0,$1 - $20,$1 - $20,"$2,000-$4,999",$500-$999,$100-$199,0,Local,NA,500
130,20,7-8 days,3,Female,35-44,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$200-$499,0,$21-$49,$21-$49,0,$1 - $20,NA,0,$100-$199,$50-$99,NA,Boulder Resident,N/A
137,NA,4,8,Female,55-64,80305,No,Didn't extend stay,$200-$499,$200-$499,$100-$199,$100-$199,$200-$499,0,0,$500-$999,$50-$99,0,I live here,Home,0
105,20,3-4 days,2,Male,65-74,80309,NA,1 day,$100-$199,"$2,000-$3,000",$50-$99,$1 - $20,$21-$49,"$3,000-$4,000",$20-$49,0,0,$20-$49,Resident,"Friends, family or no expense",200
166,20,1-2 days,2,Female,55-64,80306,NA,Didn't extend stay,$21-$49,$100-$199,$100-$199,$100-$199,$500-$999,$200-$499,0,$1 - $20,$200-$499,$500-$999,Local,Home,175
289,5-6 times,0,8,Female,35-44,95833,NA,I live here,$1 - $20,$200-$499,$1 - $20,0,"$1,000-$1,499",$200-$499,$20-$49,$1 - $20,$1 - $20,$1 - $20,Two nights,"Friends, family or no expense",175
217,20,3-4 days,2,Female,45-54,93111,No,A few hours,$50-$99,0,$21-$49,$21-$49,$1 - $20,0,$20-$49,$500-$999,NA,0,Resident,NA,125
168,47,3-4 days,3,Female,45-54,80306,No,2 days,$21-$49,0,$21-$49,$1 - $20,0,0,"$1,000-$1,999",$200-$499,$1 - $20,$1 - $20,NA,Boulder Resident,500
73,20,5-6 days,5,Female,65-74,80306,No,NA,$1 - $20,$500-$999,$1 - $20,$1 - $20,$200-$499,$50-$99,"$2,000-$4,999",$50-$99,NA,$1 - $20,Local,"Friends, family or no expense",500
33,1-2 times,0,3,Female,65-74,80309,Yes,-,0,0,0,0,0,"$3,000-$4,000",$100-$199,$200-$499,NA,$1 - $20,Multiple day trips,"Friends, family or no expense",NA
86,3-4 times,1-2 days,4,Female,35-44,80305,NA,Didn't extend stay,$1 - $20,"$2,000-$3,000",$1 - $20,$1 - $20,$50-$99,$1 - $20,$1 - $20,$100-$199,$20-$49,NA,Multiple day trips,Boulder Resident,3
26,1-2 times,0,0,Female,45-54,80303,Yes,Zero,0,0,0,0,0,0,$20-$49,$20-$49,NA,$500-$999,Resident,Hotel or motel,280
247,1,3-4 days,6,Female,25-34,12345,Yes,1 day,$500-$999,NA,$500-$999,$100-$199,$500-$999,0,$50-$99,$20-$49,$50-$99,$1 - $20,Three nights,Hotel or motel,240
284,3-4 times,1-2 days,4,Female,25-34,80305,NA,Live in area,"$1,000.00",$500-$999,$21-$49,$100-$199,$100-$199,NA,$20-$49,$1 - $20,0,0,Two nights,"Friends, family or no expense",240
112,56,20,4,Female,55-64,93111,No,Didn't extend stay,$100-$199,$200-$499,$200-$499,$100-$199,$200-$499,"$5,000.00",$1 - $20,$20-$49,NA,$50-$99,Local resident,Hotel or motel,175
111,25,7-8 days,5,Female,35-44,93013,Yes,2 days,$100-$199,0,$50-$99,$50-$99,$50-$99,0,"$1,000-$1,999",$50-$99,$500-$999,0,One night,"Friends, family or no expense",125
164,20,1-2 days,3,Female,55-64,80306,NA,I live here,$21-$49,"$2,000-$3,000",$21-$49,"$2,000-$3,000",$1 - $20,"$5,000.00",$1 - $20,$1 - $20,$20-$49,$200-$499,NA,Home,240
228,3-4 times,7-8 days,6,Male,25-34,80303,NA,1 day,$50-$99,$100-$199,$1 - $20,$1 - $20,0,"$3,000-$4,000","$1,000-$1,999",$50-$99,$1 - $20,$1 - $20,Two nights,NA,200
186,5-6 times,1-2 days,3,Male,25-34,80303,No,1 day,$21-$49,0,0,0,0,NA,$100-$199,NA,$20-$49,$20-$49,Day trip,Boulder Resident,175
29,1-2 times,0,2,Female,55-64,80303,Yes,NA,0,0,0,0,0,0,$50-$99,0,$500-$999,$1 - $20,Four nights,NA,240
114,1-2 times,1-2 days,5,Female,25-34,80304,Yes,0,$100-$199,0,0,$21-$49,0,0,NA,NA,NA,NA,I live here,Home,175
131,20,3-4 days,3,Male,45-54,80303,NA,2 days,$200-$499,"$1,000-$1,499",$21-$49,$50-$99,$1 - $20,$200-$499,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Three nights,"Friends, family or no expense",500
104,20,3-4 days,3,Female,45-54,80303,Yes,0,$100-$199,0,$50-$99,$1 - $20,$1 - $20,$50-$99,$1 - $20,$200-$499,$200-$499,$1 - $20,Local,NA,N/A
219,20,1-2 days,6,Female,45-54,80306,Yes,A few hours,$50-$99,$100-$199,$200-$499,$21-$49,$500-$999,0,$20-$49,$50-$99,$200-$499,$200-$499,Four nights,Home,NA
270,20,1-2 days,3,Male,35-44,93111,No,Didn't extend stay,$500-$999,$50-$99,$50-$99,$1 - $20,"$1,000-$1,499","$5,000.00",0,$20-$49,$50-$99,NA,Live in Boulder,Home,175
285,3-4 times,1-2 days,3,Female,85,80309,No,1 day,$500-$999,$21-$49,0,$50-$99,"$1,000-$1,499",$500-$999,$20-$49,$500-$999,$1 - $20,0,I live here,Hotel or motel,125
194,5-6 times,5-6 days,1,Female,45-54,93067,Yes,Home is here,$21-$49,0,$21-$49,$21-$49,0,0,$20-$49,$500-$999,0,$50-$99,Day trip,"Friends, family or no expense",240
277,20,0,0,Female,55-64,80303,No,Home is here,0,$200-$499,"$1,000-$1,499","$2,000-$3,000",NA,0,$200-$499,$200-$499,$100-$199,$1 - $20,Day trip,NA,500
291,5-6 times,7-8 days,3,Female,45-54,80306,NA,Didn't extend stay,$21-$49,$50-$99,$1 - $20,$1 - $20,$21-$49,$1 - $20,0,NA,$50-$99,$50-$99,Resident,NA,500
144,20,1-2 days,6,Female,55-64,80305,No,0,$21-$49,0,0,$1 - $20,0,0,"$1,000-$1,999",$20-$49,0,$500-$999,Local resident,NA,NA
118,5-6 times,7-8 days,5,Female,35-44,80304,No,Home is here,$100-$199,$100-$199,$50-$99,$1 - $20,$100-$199,"$3,000-$4,000","$1,000-$1,999",$1 - $20,NA,0,Local,NA,NA
118,5-6 times,7-8 days,5,Female,35-44,80304,No,Home is here,$100-$199,$100-$199,$50-$99,$1 - $20,$100-$199,"$3,000-$4,000","$1,000-$1,999",$1 - $20,NA,0,Local,NA,NA
23,20,3-4 days,3,Male,25-34,80309,Yes,0,0,"$1,000-$1,499","$1,000.00",$50-$99,$1 - $20,0,$200-$499,NA,$50-$99,$50-$99,NA,NA,240
161,20,3-4 days,9,Male,35-44,80305,No,A few hours,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$200-$499,$1 - $20,NA,$50-$99,NA,Home,N/A
202,20,3-4 days,9,Male,35-44,80303,NA,2 days,$50-$99,0,0,0,0,0,"$1,000-$1,999",NA,$500-$999,$1 - $20,Two nights,"Friends, family or no expense",3
52,5-6 times,0,0,Male,65-74,80309,NA,2 days,0,0,0,0,0,0,NA,$50-$99,$1 - $20,$200-$499,NA,"Friends, family or no expense",NA
31,1-2 times,0,0,Female,65-74,80309,NA,0,0,0,0,0,0,0,$100-$199,$20-$49,$20-$49,$1 - $20,Multiple day trips,Home,200
123,20,3-4 days,5,Female,25-34,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$200-$499,$100-$199,$1 - $20,$21-$49,$1 - $20,0,$100-$199,NA,$100-$199,0,Live in Boulder,Hotel or motel,280
27,1-2 times,1-2 days,1,Female,45-54,80309,No,I live here,0,0,0,0,0,0,$20-$49,$1 - $20,$200-$499,$500-$999,Four nights,Hotel or motel,NA
106,20,1-2 days,6,Female,55-64,80304,No,Zero,$100-$199,0,0,$21-$49,$1 - $20,NA,"$1,000-$1,999",$20-$49,0,$200-$499,Multiple day trips,NA,200
27,1-2 times,1-2 days,1,Female,45-54,80309,No,I live here,0,0,0,0,0,0,$20-$49,$1 - $20,$200-$499,$500-$999,Four nights,Hotel or motel,NA
233,5-6 times,7-8 days,5,Female,35-44,80303,NA,NA,$50-$99,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,"$2,000-$4,999",$500-$999,$500-$999,$500-$999,Resident,"Friends, family or no expense",0
245,1,1-2 days,2,Male,45-54,91320,Yes,A few hours,$200-$499,$1 - $20,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$50-$99,One night,Hotel or motel,125
124,20,7-8 days,3,Female,35-44,80309,No,Zero,$200-$499,0,$21-$49,$21-$49,0,$1 - $20,"$1,000-$1,999",$500-$999,0,$1 - $20,One night,Boulder Resident,200
17,20,0,0,Female,65-74,80309,No,NA,0,0,0,0,0,0,$200-$499,$200-$499,$500-$999,0,Resident,Hotel or motel,175
62,20,1-2 days,3,Female,65-74,80304,Yes,Zero,$1 - $20,$50-$99,0,0,0,$21-$49,$100-$199,$500-$999,$100-$199,$20-$49,I live here,Hotel or motel,500
219,20,1-2 days,6,Female,45-54,80306,Yes,A few hours,$50-$99,$100-$199,$200-$499,$21-$49,$500-$999,0,$20-$49,$50-$99,$200-$499,$200-$499,Four nights,Home,NA
211,20,3-4 days,4,Male,35-44,80303,No,Didn't extend stay,$50-$99,$50-$99,0,$21-$49,0,0,$20-$49,$200-$499,$20-$49,$50-$99,Four nights,"Friends, family or no expense",125
219,20,1-2 days,6,Female,45-54,80306,Yes,A few hours,$50-$99,$100-$199,$200-$499,$21-$49,$500-$999,0,$20-$49,$50-$99,$200-$499,$200-$499,Four nights,Home,NA
146,20,1-2 days,5,Female,45-54,80303,Yes,A few hours,$21-$49,0,0,0,0,0,$20-$49,$1 - $20,$1 - $20,$200-$499,Local,Hotel or motel,175
6,20,1-2 days,1,Male,45-54,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$200-$499,$100-$199,$100-$199,$50-$99,Four nights,Boulder Resident,125
212,20,3-4 days,4,Female,35-44,80304,Yes,A few hours,$50-$99,0,$1 - $20,$21-$49,0,0,$50-$99,$20-$49,0,$20-$49,I live here,Hotel or motel,NA
40,40,0,0,Male,45-54,80306,No,2 days,0,0,0,0,0,0,"$1,000-$1,999",NA,$100-$199,$1 - $20,Live in Boulder,Home,280
17,20,0,0,Female,65-74,80309,No,NA,0,0,0,0,0,0,$200-$499,$200-$499,$500-$999,0,Resident,Hotel or motel,175
255,20,1-2 days,4,Male,55-64,93111,NA,I live here,0,$50-$99,$1 - $20,$21-$49,0,$1 - $20,$100-$199,$100-$199,$20-$49,$20-$49,Day trip,Home,280
164,20,1-2 days,3,Female,55-64,80306,NA,I live here,$21-$49,"$2,000-$3,000",$21-$49,"$2,000-$3,000",$1 - $20,"$5,000.00",$1 - $20,$1 - $20,$20-$49,$200-$499,NA,Home,240
229,3-4 times,3-4 days,4,Female,55-64,80306,Yes,0,$50-$99,$200-$499,$21-$49,$1 - $20,$21-$49,0,0,$50-$99,NA,$500-$999,I live here,Hotel or motel,240
130,20,7-8 days,3,Female,35-44,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$200-$499,0,$21-$49,$21-$49,0,$1 - $20,NA,0,$100-$199,$50-$99,NA,Boulder Resident,N/A
287,5-6 times,1-2 days,4,Female,45-54,91320,NA,Home is here,0,$200-$499,$100-$199,$500-$999,$21-$49,"$5,000.00",$20-$49,$50-$99,$200-$499,$200-$499,Day trip,Hotel or motel,240
88,3-4 times,3-4 days,3,Female,25-34,80303,Yes,I live here,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,"$3,000-$4,000",NA,$200-$499,$1 - $20,$50-$99,Four nights,Home,280
86,3-4 times,1-2 days,4,Female,35-44,80305,NA,Didn't extend stay,$1 - $20,"$2,000-$3,000",$1 - $20,$1 - $20,$50-$99,$1 - $20,$1 - $20,$100-$199,$20-$49,NA,Multiple day trips,Boulder Resident,3
240,1,12,4,Female,18-24,12345,Yes,-,$500-$999,"$2,000-$3,000",$100-$199,$500-$999,0,$500-$999,$1 - $20,$100-$199,$200-$499,$1 - $20,Day trip,Hotel or motel,3
293,29,0,2,Male,55-64,80303,Yes,Home is here,0,$500-$999,$500-$999,$50-$99,$500-$999,$500-$999,"$1,000-$1,999",$50-$99,$200-$499,$200-$499,Resident,Home,NA
160,20,1-2 days,5,Female,25-34,93113,No,I live here,$21-$49,$1 - $20,$1 - $20,$21-$49,$50-$99,0,"$1,000-$1,999",$50-$99,$200-$499,0,Local resident,Boulder Resident,280
141,10,3-4 days,3,Female,35-44,80305,NA,2 days,$21-$49,0,$1 - $20,$1 - $20,$1 - $20,0,$20-$49,$200-$499,$50-$99,$200-$499,I live here,Hotel or motel,240
104,20,3-4 days,3,Female,45-54,80303,Yes,0,$100-$199,0,$50-$99,$1 - $20,$1 - $20,$50-$99,$1 - $20,$200-$499,$200-$499,$1 - $20,Local,NA,N/A
7,20,0,3,Male,45-54,80302,No,Zero,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$100-$199,$20-$49,Three nights,Boulder Resident,NA
112,56,20,4,Female,55-64,93111,No,Didn't extend stay,$100-$199,$200-$499,$200-$499,$100-$199,$200-$499,"$5,000.00",$1 - $20,$20-$49,NA,$50-$99,Local resident,Hotel or motel,175
209,20,20,4,Female,45-54,80303,Yes,Live in area,$50-$99,$200-$499,$100-$199,$200-$499,0,0,"$1,000-$1,999",$500-$999,NA,$200-$499,Four nights,"Friends, family or no expense",3
57,20,0,0,Male,25-34,80306,NA,Home is here,$1 - $20,0,0,0,0,0,$20-$49,$1 - $20,$20-$49,NA,Local resident,Home,NA
213,20,3-4 days,5,Female,55-64,93108,NA,NA,$50-$99,0,$1 - $20,$21-$49,$1 - $20,$1 - $20,0,$50-$99,$200-$499,$200-$499,Live in Boulder,"Friends, family or no expense",500
237,5-6 times,3-4 days,2.5,Female,25-34,80302,No,1 day,$50-$99,0,0,$21-$49,$1 - $20,0,$20-$49,$500-$999,$200-$499,NA,Resident,Hotel or motel,280
58,20,1-2 days,1,Male,45-54,80309,No,2 days,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$200-$499,$200-$499,Four nights,Home,200
271,20,7-8 days,2,Female,45-54,80305,Yes,Live in area,$1 - $20,"$1,000-$1,499","$1,000-$1,499",0,"$1,000-$1,499","$5,000.00",$100-$199,$20-$49,$200-$499,$1 - $20,Local,Boulder Resident,500
108,20,1-2 days,2,Male,45-54,80303,Yes,Home is here,$100-$199,"$2,000-$3,000",$200-$499,$21-$49,NA,$100-$199,0,0,$1 - $20,0,NA,Hotel or motel,280
274,20,3-4 days,6,Female,55-64,80306,No,Home is here,NA,$1 - $20,$1 - $20,$100-$199,"$1,000-$1,499",$100-$199,$100-$199,NA,$200-$499,$1 - $20,One night,NA,0
29,1-2 times,0,2,Female,55-64,80303,Yes,NA,0,0,0,0,0,0,$50-$99,0,$500-$999,$1 - $20,Four nights,NA,240
162,20,3-4 days,9,Male,35-44,80305,No,NA,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$200-$499,0,$1 - $20,$500-$999,Local,Home,0
49,5-6 times,0,10,Female,55-64,80306,NA,Live in area,0,0,0,0,0,0,$100-$199,NA,$1 - $20,$1 - $20,I live here,NA,NA
5,7,3-4 days,2,Female,45-54,80304,Yes,Didn't extend stay,0,0,0,$1 - $20,0,0,$100-$199,0,$500-$999,$50-$99,Multiple day trips,Hotel or motel,0
276,20,1-2 days,6,Male,55-64,80305,Yes,2 days,"$1,000.00",NA,$50-$99,0,"$1,000-$1,499",$500-$999,$100-$199,$20-$49,$50-$99,NA,Day trip,NA,500
63,20,3-4 days,2,Female,55-64,80306,NA,-,$1 - $20,0,$1 - $20,0,0,0,$1 - $20,$1 - $20,NA,0,Local,Home,175
